Year,State,Revenue,Expenditure
2007,Alabama,7724467,7838377
2007,Alaska,2188537,2274819
2007,Arizona,9187024,9581201
2007,Arkansas,4589865,4681566
2007,California,72091820,73719265
2007,Colorado,8012467,8837404
2007,Connecticut,9151770,8842706
2007,Delaware,1647893,1683156
2007,District of Columbia,1224312,1205087
2007,Florida,29995680,31219589
2007,Georgia,18674273,19157468
2007,Hawaii,2541703,2242408
2007,Idaho,2150689,2001328
2007,Illinois,24744485,25063305
2007,Indiana,11065253,10594274
2007,Iowa,5297744,5281986
2007,Kansas,5376603,5111928
2007,Kentucky,6635330,6791743
2007,Louisiana,7694221,7511322
2007,Maine,2522457,2499427
2007,Maryland,13091382,12484211
2007,Massachusetts,14518653,14309675
2007,Michigan,19507229,19465206
2007,Minnesota,9897143,10224301
2007,Mississippi,4438286,4363308
2007,Missouri,9262878,9806720
2007,Montana,1552498,1543854
2007,Nebraska,3306802,3303318
2007,Nevada,4337482,4880038
2007,New Hampshire,2613709,2559067
2007,New Jersey,25114239,25446694
2007,New Mexico,3569002,3594474
2007,New York,52943285,54372726
2007,North Carolina,13610326,13727765
2007,North Dakota,1062276,1029935
2007,Ohio,22165968,21794156
2007,Oklahoma,5779189,5660706
2007,Oregon,6060469,6392517
2007,Pennsylvania,25256267,24707262
2007,Rhode Island,2161829,2147664
2007,South Carolina,7727384,8151548
2007,South Dakota,1187872,1160851
2007,Tennessee,8054383,8457299
2007,Texas,46101861,50068701
2007,Utah,4194845,4335371
2007,Vermont,1457977,1435713
2007,Virginia,14535889,15032177
2007,Washington,11106719,11644380
2007,West Virginia,2965589,3067283
2007,Wisconsin,10427207,10360010
2007,Wyoming,1600390,1509727
2008,Alabama,7724467,7838377
2008,Alaska,2188537,2274819
2008,Arizona,9187024,9581201
2008,Arkansas,4589865,4681566
2008,California,72091820,73719265
2008,Colorado,8012467,8837404
2008,Connecticut,9151770,8842706
2008,Delaware,1647893,1683156
2008,District of Columbia,1224312,1205087
2008,Florida,29995680,31219589
2008,Georgia,18674273,19157468
2008,Hawaii,2541703,2242408
2008,Idaho,2150689,2001328
2008,Illinois,24744485,25063305
2008,Indiana,11065253,10594274
2008,Iowa,5297744,5281986
2008,Kansas,5376603,5111928
2008,Kentucky,6635330,6791743
2008,Louisiana,7694221,7511322
2008,Maine,2522457,2499427
2008,Maryland,13091382,12484211
2008,Massachusetts,14518653,14309675
2008,Michigan,19507229,19465206
2008,Minnesota,9897143,10224301
2008,Mississippi,4438286,4363308
2008,Missouri,9262878,9806720
2008,Montana,1552498,1543854
2008,Nebraska,3306802,3303318
2008,Nevada,4337482,4880038
2008,New Hampshire,2613709,2559067
2008,New Jersey,25114239,25446694
2008,New Mexico,3569002,3594474
2008,New York,52943285,54372726
2008,North Carolina,13610326,13727765
2008,North Dakota,1062276,1029935
2008,Ohio,22165968,21794156
2008,Oklahoma,5779189,5660706
2008,Oregon,6060469,6392517
2008,Pennsylvania,25256267,24707262
2008,Rhode Island,2161829,2147664
2008,South Carolina,7727384,8151548
2008,South Dakota,1187872,1160851
2008,Tennessee,8054383,8457299
2008,Texas,46101861,50068701
2008,Utah,4194845,4335371
2008,Vermont,1457977,1435713
2008,Virginia,14535889,15032177
2008,Washington,11106719,11644380
2008,West Virginia,2965589,3067283
2008,Wisconsin,10427207,10360010
2008,Wyoming,1600390,1509727
2009,Alabama,7184885,7806113
2009,Alaska,2158835,2396412
2009,Arizona,8719722,9580393
2009,Arkansas,4732685,4980644
2009,California,71453144,71850888
2009,Colorado,8262667,8633794
2009,Connecticut,9501924,9107330
2009,Delaware,1674367,1732081
2009,District of Columbia,801008,805362
2009,Florida,26487591,28867429
2009,Georgia,17968445,19011396
2009,Hawaii,2689758,2318671
2009,Idaho,2181398,2078446
2009,Illinois,26371090,26867583
2009,Indiana,12710067,10948807
2009,Iowa,5527244,5513550
2009,Kansas,5613161,5816078
2009,Kentucky,6705234,6829740
2009,Louisiana,7931699,7935780
2009,Maine,2551991,2545450
2009,Maryland,13141453,12482460
2009,Massachusetts,15170426,14837791
2009,Michigan,18647707,18788035
2009,Minnesota,10170640,11005880
2009,Mississippi,4380745,4552756
2009,Missouri,9396217,10134666
2009,Montana,1595318,1607907
2009,Nebraska,3446377,3500576
2009,Nevada,4441108,4574369
2009,New Hampshire,2716562,2595350
2009,New Jersey,25651702,25391366
2009,New Mexico,3703462,3940618
2009,New York,55677184,57346173
2009,North Carolina,15410562,14836575
2009,North Dakota,1104033,1079302
2009,Ohio,22150278,22255659
2009,Oklahoma,6028778,5934574
2009,Oregon,6104185,6699599
2009,Pennsylvania,25473158,25004158
2009,Rhode Island,2166937,2148881
2009,South Carolina,7656698,8413203
2009,South Dakota,1255234,1261764
2009,Tennessee,8081576,8581791
2009,Texas,47930801,53423805
2009,Utah,4234810,4417005
2009,Vermont,1507266,1475296
2009,Virginia,15000778,15291282
2009,Washington,11925646,12201225
2009,West Virginia,3096506,3119908
2009,Wisconsin,10781347,10678772
2009,Wyoming,1673170,1649649
2010,Alabama,7279751,7638908
2010,Alaska,2230140,2371251
2010,Arizona,8733504,8812967
2010,Arkansas,5049424,5481913
2010,California,64981631,68149357
2010,Colorado,8741450,8861592
2010,Connecticut,9544243,9313668
2010,Delaware,1695556,1695244
2010,District of Columbia,1195934,1290048
2010,Florida,26223878,27267009
2010,Georgia,17835820,17821687
2010,Hawaii,2564856,2215458
2010,Idaho,2177156,2098737
2010,Illinois,27530500,27511423
2010,Indiana,13722748,11217754
2010,Iowa,5533487,5720197
2010,Kansas,5452260,5969898
2010,Kentucky,6880616,7090274
2010,Louisiana,8038981,7990164
2010,Maine,2668585,2611271
2010,Maryland,13321816,12935831
2010,Massachusetts,14783250,14502784
2010,Michigan,18408579,18629617
2010,Minnesota,10224729,10392420
2010,Mississippi,4454915,4504257
2010,Missouri,9508380,10047573
2010,Montana,1609439,1621952
2010,Nebraska,3643592,3616236
2010,Nevada,4261391,4259222
2010,New Hampshire,2803441,2694818
2010,New Jersey,25785093,25980006
2010,New Mexico,3638592,3807263
2010,New York,55244109,59536446
2010,North Carolina,16621268,14092577
2010,North Dakota,1260887,1208278
2010,Ohio,22592809,22536575
2010,Oklahoma,5777769,5964650
2010,Oregon,6171946,6382986
2010,Pennsylvania,26432628,25658300
2010,Rhode Island,2193345,2171836
2010,South Carolina,7742335,8222807
2010,South Dakota,1289528,1271367
2010,Tennessee,8371308,8732178
2010,Texas,50391053,53651727
2010,Utah,4246006,4323946
2010,Vermont,1572132,1528438
2010,Virginia,14693082,14706003
2010,Washington,11830765,11783520
2010,West Virginia,3176039,3482814
2010,Wisconsin,11049388,10882451
2010,Wyoming,1715195,1684520
2011,Alabama,7375156,7402584
2011,Alaska,2357828,2443898
2011,Arizona,8335541,8610417
2011,Arkansas,5156817,5630925
2011,California,68589875,66849953
2011,Colorado,8699604,8628304
2011,Connecticut,9588416,9199399
2011,Delaware,1711831,1755975
2011,District of Columbia,1283071,1297175
2011,Florida,26446473,26991946
2011,Georgia,18027907,17175243
2011,Hawaii,2499513,2259104
2011,Idaho,2089170,1960818
2011,Illinois,28695030,27544594
2011,Indiana,11853770,10856662
2011,Iowa,5876820,5827630
2011,Kansas,5537274,5654054
2011,Kentucky,7103316,7251904
2011,Louisiana,7981173,8089856
2011,Maine,2596753,2667240
2011,Maryland,13439078,12993862
2011,Massachusetts,15255880,14788386
2011,Michigan,18409697,18261611
2011,Minnesota,10756413,10444833
2011,Mississippi,4507702,4345783
2011,Missouri,9842940,9748706
2011,Montana,1618205,1635139
2011,Nebraska,3801928,3656997
2011,Nevada,4145291,4257025
2011,New Hampshire,2845195,2838178
2011,New Jersey,25306154,24965021
2011,New Mexico,3591323,3688114
2011,New York,57536081,59174602
2011,North Carolina,14409515,13692881
2011,North Dakota,1262676,1252739
2011,Ohio,22787387,22850968
2011,Oklahoma,5833144,5622532
2011,Oregon,6062018,6303336
2011,Pennsylvania,27043817,26155419
2011,Rhode Island,2198504,2182991
2011,South Carolina,7761414,7939720
2011,South Dakota,1295143,1340399
2011,Tennessee,8645594,8934633
2011,Texas,50856161,52528064
2011,Utah,4136281,4193206
2011,Vermont,1506288,1531188
2011,Virginia,14418028,14464579
2011,Washington,11816324,11888591
2011,West Virginia,3464575,3668387
2011,Wisconsin,11405841,11186653
2011,Wyoming,1646865,1642251
2012,Alabama,7135105,7212701
2012,Alaska,2383402,2483320
2012,Arizona,7869244,8054662
2012,Arkansas,5151611,5259962
2012,California,66568626,67250951
2012,Colorado,8570286,8424357
2012,Connecticut,9867251,9534667
2012,Delaware,1815111,1861298
2012,District of Columbia,1331006,1189542
2012,Florida,24131880,25352047
2012,Georgia,17556060,17387814
2012,Hawaii,2535038,2344733
2012,Idaho,1981212,1911706
2012,Illinois,29153117,28131208
2012,Indiana,12142555,11095248
2012,Iowa,6031265,6016344
2012,Kansas,5612118,5606955
2012,Kentucky,7191188,7442661
2012,Louisiana,8449930,8487312
2012,Maine,2555729,2561146
2012,Maryland,13748192,12945940
2012,Massachusetts,15621093,15322976
2012,Michigan,17671139,17808408
2012,Minnesota,10526813,10532589
2012,Mississippi,4466518,4420994
2012,Missouri,9949576,9818855
2012,Montana,1612365,1632772
2012,Nebraska,3691601,3859894
2012,Nevada,4052404,4107797
2012,New Hampshire,2862014,2806860
2012,New Jersey,26616365,25663828
2012,New Mexico,3478709,3610384
2012,New York,58757633,59922411
2012,North Carolina,12788659,13361770
2012,North Dakota,1304100,1328022
2012,Ohio,22035362,22500853
2012,Oklahoma,5823118,5575443
2012,Oregon,6075478,6301825
2012,Pennsylvania,26455893,25105120
2012,Rhode Island,2194831,2173173
2012,South Carolina,7875144,7923946
2012,South Dakota,1296353,1293181
2012,Tennessee,8948633,9230243
2012,Texas,49815063,50054220
2012,Utah,4213226,4327370
2012,Vermont,1572228,1535141
2012,Virginia,14692768,14907338
2012,Washington,11867897,12150499
2012,West Virginia,3958439,3534912
2012,Wisconsin,10862147,10444742
2012,Wyoming,1660037,1654343
2013,Alabama,,
2013,Alaska,7153244,7479000
2013,Arizona,2545076,2665933
2013,Arkansas,8097916,7594979
2013,California,5050784,5189049
2013,Colorado,,
2013,Connecticut,8782259,8652293
2013,Delaware,10106977,9505979
2013,District of Columbia,1879594,1869552
2013,Florida,1300036,1308438
2013,Georgia,,
2013,Hawaii,17455531,17305665
2013,Idaho,2331770,2345917
2013,Illinois,2014850,1967676
2013,Indiana,29381978,28612177
2013,Iowa,,
2013,Kansas,6030006,6082199
2013,Kentucky,5665784,5616915
2013,Louisiana,7215016,7412136
2013,Maine,8084272,7816166
2013,Maryland,,
2013,Massachusetts,13810290,13028147
2013,Michigan,15979549,15833319
2013,Minnesota,17352711,17218124
2013,Mississippi,10703224,10773679
2013,Missouri,,
2013,Montana,10030499,9911964
2013,Nebraska,1651635,1658087
2013,Nevada,3794639,3894835
2013,New Hampshire,4130292,4055016
2013,New Jersey,,
2013,New Mexico,27066207,27108253
2013,New York,3518621,3531018
2013,North Carolina,59398819,60228202
2013,North Dakota,12729402,13595456
2013,Ohio,,
2013,Oklahoma,21731148,21862774
2013,Oregon,5876075,5777164
2013,Pennsylvania,6021680,6214378
2013,Rhode Island,27024284,26927028
2013,South Carolina,,
2013,South Dakota,8241948,8207937
2013,Tennessee,1314331,1329800
2013,Texas,8977376,9224011
2013,Utah,49566997,50509112
2013,Vermont,,
2013,Virginia,1618909,1598526
2013,Washington,15058548,15393402
2013,West Virginia,12149279,12058003
2013,Wisconsin,3474979,3486557
2013,Wyoming,10801895,10545086
2014,Alabama,7355547,7578390
2014,Alaska,2663488,2727056
2014,Arizona,8293591,8101041
2014,Arkansas,5175529,5205338
2014,California,69857908,69336590
2014,Colorado,9117534,9240796
2014,Connecticut,10516316,9932659
2014,Delaware,1904776,1930195
2014,District of Columbia,1342220,1313289
2014,Florida,26072680,26523658
2014,Georgia,17817933,17658341
2014,Hawaii,2696766,2504144
2014,Idaho,2084312,2012852
2014,Illinois,30407109,30198352
2014,Indiana,12149675,10892114
2014,Iowa,6194941,6296234
2014,Kansas,5812358,5953275
2014,Kentucky,7228770,7344521
2014,Louisiana,8323024,7985369
2014,Maine,2609930,2474551
2014,Maryland,13978426,13450813
2014,Massachusetts,16474364,16133044
2014,Michigan,17529062,17098757
2014,Minnesota,11017479,11127875
2014,Mississippi,4467314,4460359
2014,Missouri,10163998,10204480
2014,Montana,1712493,1735317
2014,Nebraska,3926537,3988681
2014,Nevada,4201457,4038933
2014,New Hampshire,2943450,2800092
2014,New Jersey,27408345,26644924
2014,New Mexico,3601387,3571164
2014,New York,61100409,62271617
2014,North Carolina,13462754,13479223
2014,North Dakota,1530158,1543493
2014,Ohio,22423472,21691156
2014,Oklahoma,6032331,6009958
2014,Oregon,6573206,6437672
2014,Pennsylvania,27647475,27036390
2014,Rhode Island,2289429,2231807
2014,South Carolina,8405682,8435809
2014,South Dakota,1342877,1352648
2014,Tennessee,9215027,9418223
2014,Texas,52609018,52931107
2014,Utah,4400351,4381995
2014,Vermont,1672580,1636281
2014,Virginia,15083311,15451418
2014,Washington,12943921,12765051
2014,West Virginia,3502513,3496901
2014,Wisconsin,11001272,10920466
2014,Wyoming,1771027,1762762
2015,Alabama,7358479,7492652
2015,Alaska,2920866,2968341
2015,Arizona,8159132,7885928
2015,Arkansas,5292617,5324723
2015,California,75394798,75165373
2015,Colorado,9603864,9512208
2015,Connecticut,10857282,10255593
2015,Delaware,1976630,1902870
2015,District of Columbia,1382282,1360942
2015,Florida,26965611,27277049
2015,Georgia,18580802,18491168
2015,Hawaii,2703683,2521004
2015,Idaho,2167326,2029520
2015,Illinois,31403190,31544250
2015,Indiana,12214546,11148284
2015,Iowa,6452929,6525399
2015,Kansas,5990196,6170661
2015,Kentucky,7547768,7553188
2015,Louisiana,8432847,8174411
2015,Maine,2670356,2526590
2015,Maryland,14487572,13656491
2015,Massachusetts,16845416,16569162
2015,Michigan,18061614,17452429
2015,Minnesota,11533096,11802631
2015,Mississippi,4580037,4513040
2015,Missouri,10536780,10426212
2015,Montana,1787946,1786323
2015,Nebraska,4156275,4264370
2015,Nevada,4343666,4177850
2015,New Hampshire,2992258,2877774
2015,New Jersey,28221327,27654903
2015,New Mexico,3789651,3838927
2015,New York,63463118,64798836
2015,North Carolina,13146934,13995495
2015,North Dakota,1596345,1748970
2015,Ohio,22535797,22399589
2015,Oklahoma,6119590,6168891
2015,Oregon,7065169,6994886
2015,Pennsylvania,28509946,27976587
2015,Rhode Island,2343730,2300550
2015,South Carolina,8747944,8750897
2015,South Dakota,1412443,1462085
2015,Tennessee,9433434,9545980
2015,Texas,55408404,56084388
2015,Utah,4570163,4533624
2015,Vermont,1728446,1681292
2015,Virginia,15580882,15860940
2015,Washington,13609674,13586886
2015,West Virginia,3465194,3464205
2015,Wisconsin,11281068,11191475
2015,Wyoming,1960772,1926445
2016,Alabama,7605596,7854516
2016,Alaska,2494680,2623014
2016,Arizona,8430089,7984562
2016,Arkansas,5384115,5407470
2016,California,86557167,82146317
2016,Colorado,10063463,9831883
2016,Connecticut,11170433,10529735
2016,Delaware,2000430,1970124
2016,District of Columbia,1329719,1374562
2016,Florida,28119997,27945116
2016,Georgia,19399889,19143458
2016,Hawaii,3030519,2733094
2016,Idaho,2265813,2100980
2016,Illinois,32167833,32148981
2016,Indiana,12511006,11314646
2016,Iowa,6644950,6710694
2016,Kansas,6067808,6129735
2016,Kentucky,7744812,7784548
2016,Louisiana,8386531,7985236
2016,Maine,2768776,2631161
2016,Maryland,14405532,13748028
2016,Massachusetts,17339360,16621143
2016,Michigan,18450582,17703640
2016,Minnesota,12036272,12646007
2016,Mississippi,4743998,4631356
2016,Missouri,10806710,10615933
2016,Montana,1778177,1858780
2016,Nebraska,4319834,4619793
2016,Nevada,4481097,4368152
2016,New Hampshire,3050303,2958069
2016,New Jersey,29014774,28488858
2016,New Mexico,3765069,3723997
2016,New York,66664079,67977836
2016,North Carolina,13448045,14141312
2016,North Dakota,1749290,1904151
2016,Ohio,22886040,23201744
2016,Oklahoma,6102050,6169069
2016,Oregon,7371975,7486287
2016,Pennsylvania,29653724,29021554
2016,Rhode Island,2377283,2329343
2016,South Carolina,9149576,9135095
2016,South Dakota,1452424,1473360
2016,Tennessee,9559722,9665661
2016,Texas,58102045,59129657
2016,Utah,4946408,4919361
2016,Vermont,1789559,1705559
2016,Virginia,15977316,16245529
2016,Washington,14854084,15207550
2016,West Virginia,3377707,3364357
2016,Wisconsin,11325800,11409377
2016,Wyoming,2041958,2017673
2017,Alabama,7909958,8021292
2017,Alaska,2504464,2587060
2017,Arizona,8601449,8386627
2017,Arkansas,5462279,5460822
2017,California,89109048,86828123
2017,Colorado,10383949,10418460
2017,Connecticut,11074485,10487033
2017,Delaware,2206856,2071076
2017,District of Columbia,1520849,1562841
2017,Florida,28996448,28900189
2017,Georgia,20373536,20123166
2017,Hawaii,2844167,2778689
2017,Idaho,2396039,2260290
2017,Illinois,35270511,34249528
2017,Indiana,12684323,11608121
2017,Iowa,6898375,6800383
2017,Kansas,6280387,6519665
2017,Kentucky,7917769,7949741
2017,Louisiana,8406687,8142662
2017,Maine,2768378,2740218
2017,Maryland,14913187,14422619
2017,Massachusetts,18039476,17376910
2017,Michigan,18756551,18088275
2017,Minnesota,12439701,13473534
2017,Mississippi,4750751,4675220
2017,Missouri,11086375,10709243
2017,Montana,1814065,1886164
2017,Nebraska,4431533,4799659
2017,Nevada,4670479,4781032
2017,New Hampshire,3124636,3017400
2017,New Jersey,29394902,29113576
2017,New Mexico,3797747,3778333
2017,New York,70031703,70375945
2017,North Carolina,13975840,14855814
2017,North Dakota,1773481,1846156
2017,Ohio,23573180,24225460
2017,Oklahoma,6165537,6019507
2017,Oregon,7654699,7935416
2017,Pennsylvania,31179409,30953734
2017,Rhode Island,2442045,2475343
2017,South Carolina,9726983,9634412
2017,South Dakota,1568440,1558530
2017,Tennessee,10065863,10333844
2017,Texas,58891226,62985548
2017,Utah,5160802,5229713
2017,Vermont,1804614,1758510
2017,Virginia,16529157,17013933
2017,Washington,15646461,16078806
2017,West Virginia,3476338,3412733
2017,Wisconsin,11686068,11612679
2017,Wyoming,1930057,1911464